date,pm25,pm10,o3,no2,so2,co
26-10-2022,150,120,44,16,3,5
27-10-2022,161,122,46,16,3,5
28-10-2022,162,114,42,14,3,4
29-10-2022,157,97,36,12,3,4
30-10-2022,136,92,39,15,3,5
31-10-2022,139,118,34,15,3,4
01-11-2022,148,108,29,14,3,4
02-11-2022,155,130,35,16,3,9
03-11-2022,162,161,36,20,3,8
04-11-2022,175,149,31,18,3,6
05-11-2022,168,127,33,17,4,6
06-11-2022,161,139,32,18,3,7
07-11-2022,166,135,33,16,3,6
08-11-2022,168,126,31,17,4,6
09-11-2022,163,139,33,18,4,6
10-11-2022,169,164,30,17,3,7
11-11-2022,182,179,31,17,4,7
12-11-2022,185,151,38,16,4,6
13-11-2022,174,154,38,17,4,5
14-11-2022,177,177,42,18,5,8
15-11-2022,185,189,42,20,4,8
16-11-2022,192,161,35,18,4,7
17-11-2022,172,141,38,16,4,4
18-11-2022,168,123,38,14,4,5
19-11-2022,164,156,37,14,3,5
20-11-2022,178,133,41,15,5,6
21-11-2022,169,160,38,19,6,7
22-11-2022,182,170,38,19,5,7
23-11-2022,185,159,46,18,4,7
24-11-2022,184,169,38,18,5,6
25-11-2022,183,170,38,19,4,9
26-11-2022,185,206,36,20,6,7
27-11-2022,197,195,36,19,5,6
28-11-2022,194,167,34,17,5,6
29-11-2022,177,148,34,17,5,6
30-11-2022,176,163,36,17,4,6
01-12-2022,186,174,42,17,6,6
02-12-2022,193,188,43,17,4,7
03-12-2022,198,203,43,17,5,6
04-12-2022,205,196,37,18,5,7
05-12-2022,199,184,39,17,5,7
06-12-2022,190,187,38,17,5,6
07-12-2022,190,177,38,18,5,7
08-12-2022,187,202,40,22,7,8
09-12-2022,196,191,34,21,8,7
10-12-2022,195,272,38,22,5,10
11-12-2022,218,347,47,24,6,11
12-12-2022,246,281,39,24,7,7
13-12-2022,228,153,33,22,6,6
14-12-2022,173,157,34,19,6,6
15-12-2022,170,151,36,19,6,6
16-12-2022,172,178,43,18,6,7
17-12-2022,183,175,34,17,4,6
18-12-2022,195,273,36,19,5,10
19-12-2022,217,284,37,20,5,8
20-12-2022,218,268,32,20,6,9
21-12-2022,219,177,29,20,6,9
22-12-2022,195,155,35,20,7,9
23-12-2022,182,200,35,22,11,10
24-12-2022,194,279,37,23,10,10
25-12-2022,236,193,35,19,9,6
26-12-2022,201,196,30,20,5,8
27-12-2022,197,155,33,17,6,5
28-12-2022,183,195,40,21,6,9
29-12-2022,193,240,42,22,10,9
30-12-2022,216,277,45,21,7,8
31-12-2022,232,218,26,18,7,8
01-01-2023,217,228,25,15,3,7
01-07-2022,91,66,16,24,1,5
02-07-2022,127,52,8,24,2,5
03-07-2022,95,51,18,24,2,4
04-07-2022,77,32,7,24,2,4
05-07-2022,61,27,6,24,2,2
06-07-2022,49,39,11,24,2,4
07-07-2022,58,40,4,24,3, 
08-07-2022,72, , , , , 
10-07-2022,60,34,4,24,3,2
11-07-2022,55,41,5,24,2, 
12-07-2022,41, , , , , 
14-07-2022,42,34,10,24,1,2
15-07-2022,43,33,6,24, ,2
16-07-2022,46,37,6,24, ,2
17-07-2022,47,41,5,24,2,2
18-07-2022,62,39,7,24,3,2
19-07-2022,48,58,9,24,2,4
20-07-2022,70,60,10,24,3,3
21-07-2022,79, , , , , 
23-07-2022,46,45,5,24,2, 
24-07-2022,53,91,8,23,3,5
25-07-2022,76,59,5,24,3,8
26-07-2022,60,58,7,24,3,7
27-07-2022,62,87,10,23,2,7
28-07-2022,117,90,14,24,3,8
29-07-2022,120,89,8,24,2,8
30-07-2022,141,85,7,24,1,8
31-07-2022,123,89,9,24,2,8
01-08-2022,120,104,8,24,2,6
02-08-2022,144,89,9,24,2,5
03-08-2022,132,66,6,24,2,5
04-08-2022,96,66,7,24,2,4
05-08-2022,97,56,6,24,2,5
06-08-2022,73,44,6,24,2,5
07-08-2022,62,45,6,24,2,4
08-08-2022,56,32,10,24,2,4
09-08-2022,43,27,6,24,3,4
10-08-2022,39,22,7,24,2,3
11-08-2022,35,47,11,19,3,5
12-08-2022,66,64,20,12,2,5
13-08-2022,94,29,21,11,3,3
14-08-2022,43,70,26,10,2,4
15-08-2022,49,60,18,9,3,7
16-08-2022,80,79,16,8,2,6
17-08-2022,113,77,15,7,2,5
18-08-2022,111,49,16,6,3,5
19-08-2022,70,38,14,7,3,4
20-08-2022,59,60,12,7,2,6
21-08-2022,85,47,17,6,2,5
22-08-2022,67,57,11,8,2,7
23-08-2022,78,62,11,8,3,6
24-08-2022,84,65,14,7,1,6
25-08-2022,90,82,15,8,3,6
26-08-2022,114,93,18,7,2,7
27-08-2022,139,70,15,7,3,5
28-08-2022,98,56,14,7,2,6
29-08-2022,75,56,12,7,3,5
30-08-2022,70,58,12,8,2,7
31-08-2022,77,58,11,8,2,6
01-09-2022,81,84,15,9,2,8
02-09-2022,124,85,33,9,3,7
03-09-2022,116,72,28,8,2,5
04-09-2022,109,79,45,8,2,6
05-09-2022,115,110,22,9,2,13
06-09-2022,149,80,16,9,3,6
07-09-2022,129,65,24,8,2,4
08-09-2022,96,60,23,8,3,4
09-09-2022,94,57,20,9,2,5
10-09-2022,85,40,30,8,2,4
11-09-2022,59,38,22,8,2,6
12-09-2022,60,52,19,8,2,5
13-09-2022,75,63,25,8,2,5
14-09-2022,87,70,21,8,2,7
15-09-2022,103,51,18,8,2,6
16-09-2022,67,60,14,7,2,5
